X1,X2,X3,X4,X5,X6,X7
48.92,42.98,79.86,0,NA,10,10
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14,NA,10,20
NA,NA,NA,4,NA,8,23
59,57.2,93.74,5,NA,10,8
55.94,46.04,69.3,0,NA,10,16
87.8,32,13.59,4,NA,7,19
44.06,41,88.9,11,NA,10,7
80.06,59,48.64,7,NA,10,18
57.92,51.98,80.55,4,NA,10,7
39.92,39.02,96.55,6,NA,5,12
NA,NA,NA,NA,NA,10,7
46.04,39.92,79.07,5,NA,10,15
NA,NA,NA,7,NA,9,8
51.08,44.96,79.48,4,NA,6,8
28.04,10.04,46.26,7,NA,10,17
NA,NA,NA,NA,NA,NA,NA
64,39,39.67,10,NA,10,24
89.06,62.06,40.6,6,NA,10,10
NA,NA,NA,6,NA,1.25,16
21.2,-13,20.69,13,24,10,8
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,NA,7,7
46.94,44.06,89.65,3,NA,10,12
73.4,33.8,23.39,7,NA,10,19
60.8,48.2,63.15,9,NA,8,19
NA,NA,NA,11,NA,10,17
NA,NA,NA,0,NA,10,13
84,64,51.08,8,NA,10,17
80.06,75.92,87.22,4,NA,6,13
51.08,46.94,85.67,6,NA,3,11
44.06,42.08,92.69,4,NA,3,10
53.1,30,40.96,0,NA,10,18
27,17.1,65.84,6,NA,10,9
23,15.98,74.09,7,NA,10,16
NA,NA,NA,NA,NA,NA,NA
48.92,39.02,68.51,8,NA,6,17
19.4,10.4,67.51,19,25,8,7
93.92,66.02,40.07,12,15,10,20
71.06,68,90.06,8,NA,10,9
46.94,32,55.85,13,NA,10,16
NA,NA,NA,9,NA,10,19
NA,NA,NA,7,NA,10,19
24.8,21.2,85.96,8,NA,2,14
37.94,14,37.05,6,NA,10,15
66.92,59,75.69,0,NA,10,9
73.94,41,30.49,5,NA,10,17
28.4,21.2,74.08,7,NA,4,18
57.02,35.96,45.11,6,NA,10,17
62.06,10.94,13.19,0,NA,10,24
24.98,12.02,57.33,6,NA,10,22
75.2,57.2,53.55,16,26,9,22
84.2,30.2,14.18,9,NA,10,10
NA,NA,NA,9,NA,10,18
46.94,33.98,60.47,0,NA,10,12
77,57.92,51.76,5,NA,10,19
64.04,60.08,86.95,13,NA,7,7
71.06,42.08,35.04,14,18,10,16
75.02,33.98,22.32,0,NA,10,18
NA,NA,NA,0,NA,10,22
NA,NA,NA,16,NA,10,19
71.06,69.98,96.39,4,NA,8,10
73.94,62.06,66.43,7,NA,10,15
21.02,19.04,91.91,13,NA,1,7
77,64.04,64.3,5,NA,10,16
23,17.06,77.64,8,NA,8,14
78.08,68,71.19,8,NA,10,8
48.92,46.04,89.73,3,NA,10,9
NA,NA,NA,3,NA,0.13,12
NA,NA,NA,3,NA,9,7
89.96,53.96,29.5,0,NA,10,7
NA,NA,NA,9,NA,10,9
50,24.08,35.98,20,30,10,7
-2.02,-5.98,82.74,3,NA,10,14
NA,NA,NA,9,NA,8,18
66.02,48.02,52.22,9,NA,10,9
80.06,60.08,50.55,6,NA,10,15
68,60.08,75.78,5,NA,10,10
NA,NA,NA,6,NA,10,7
45,39.9,82.19,8,NA,7,12
37.94,35.96,92.49,8,NA,9,14
60.08,48.92,66.56,3,NA,10,7
80.06,71.06,74.07,6,NA,10,13
NA,NA,NA,8,NA,9,8
NA,NA,NA,NA,NA,NA,NA
87.08,64.04,46.35,4,NA,10,17
53.06,48.92,NA,NA,NA,10,7
64.94,53.06,65.37,6,NA,10,16
51.98,32,46.28,6,NA,10,14
64.94,55.94,72.62,8,NA,10,13
82.04,71.96,71.59,6,NA,10,16
NA,NA,NA,NA,NA,NA,NA
69.8,60.8,73.09,4,NA,2,16
46.94,42.98,86.02,6,NA,10,13
78.08,66.02,66.48,4,NA,9,20
53.06,44.96,73.89,13,NA,10,9
42.08,24.98,50.42,9,NA,10,1
48.92,35.06,58.61,0,NA,10,7
33.08,3.92,28.57,5,NA,10,8
84.92,50,29.92,5,NA,10,19
78.98,75.02,87.7,4,NA,10,8
NA,NA,NA,5,NA,10,9
62.96,62.96,100,3,NA,2,14
82.94,51.98,34.32,7,NA,10,12
71.06,53.06,52.95,5,NA,10,21
57.02,48.02,71.81,0,NA,10,8
66.92,32,27.15,7,NA,10,21
59,55.94,89.57,3,NA,8,7
17.06,10.94,76.47,0,NA,10,9
NA,NA,NA,9,NA,10,21
69.08,60.98,75.4,4,NA,10,6
71.96,26.06,17.92,11,NA,10,6
55.04,46.94,74.08,8,NA,10,14
53.6,19.4,25.85,6,NA,10,23
82.9,69.1,63.16,5,NA,7,14
66.92,59,75.69,10,NA,10,8
53.96,46.04,74.48,5,NA,10,14
64.04,59,83.66,5,NA,10,18
NA,NA,NA,3,NA,10,7
87.08,73.94,65.08,5,NA,10,16
53.6,21.2,27.91,13,NA,10,12
35.06,28.04,75.31,8,NA,10,9
NA,NA,NA,NA,NA,NA,NA
73.94,10.04,8.41,7,NA,10,20
NA,NA,NA,0,NA,9,17
NA,NA,NA,NA,NA,NA,NA
71.06,55.04,56.93,7,NA,10,14
75.02,37.94,26.1,5,NA,10,10
73.94,69.98,87.45,6,NA,10,7
59,48.92,69.17,4,NA,10,7
39.02,28.94,66.85,8,NA,9,15
71.06,66.92,86.77,7,NA,6,12
71.96,66.92,84.16,6,NA,6,17
57.02,50,77.32,5,NA,10,12
NA,NA,NA,7,NA,10,6
39.02,37.04,92.53,14,20,10,16
24.08,3.92,41.3,6,NA,10,20
39.02,37.04,92.53,4,NA,6,12
NA,NA,NA,0,NA,10,12
NA,NA,NA,0,NA,10,9
32,28.94,88.32,6,NA,6,9
NA,NA,NA,8,NA,10,11
73.04,69.98,90.14,0,NA,10,11
59,17.06,19.23,5,NA,10,20
60.98,55.04,80.78,0,NA,10,16
95,26.96,8.84,7,NA,10,22
73.94,37.04,26.13,8,NA,10,20
78.08,73.04,84.53,12,20,10,19
NA,NA,NA,11,NA,10,22
42.98,28.04,55.27,11,NA,10,8
60.8,60.8,100,11,NA,7,12
69.98,55.94,61.02,23,29,10,18
80.06,57.02,45.3,17,29,10,19
NA,NA,NA,2,NA,10,7
80.96,55.04,40.94,12,22,10,19
66.02,59,78.08,3,NA,10,9
NA,NA,NA,NA,NA,NA,NA
55.94,48.02,74.67,6,NA,7,15
73.94,68,81.71,13,20,10,7
48.92,37.04,63.39,7,NA,10,12
84.02,42.08,22.82,4,NA,10,20
71.96,69.08,90.66,3,NA,10,9
NA,NA,NA,NA,NA,10,23
59,37.4,44.47,4,NA,10,11
75.02,44.96,34.24,3,NA,10,17
23,17.96,80.71,5,NA,10,11
69.08,62.96,80.86,8,NA,10,20
80.06,73.04,79.2,8,NA,10,12
68,44.6,42.85,0,NA,10,14
30.92,21.02,66.34,13,NA,10,14
60.98,57.02,86.79,4,NA,10,8
78.08,60.98,55.7,9,NA,10,10
NA,NA,NA,12,NA,10,11
91.4,32,12.14,3,NA,10,19
NA,NA,NA,0,NA,10,7
73.04,62.96,70.68,14,20,10,17
21.2,17.6,85.74,7,NA,1.75,14
64.94,44.06,46.67,8,NA,10,18
87.08,66.92,51.24,5,NA,10,15
73.04,30.02,20.33,6,NA,10,18
NA,NA,NA,6,NA,10,14
59,55.04,86.69,0,NA,10,11
26.06,21.92,84.1,5,NA,10,9
NA,NA,NA,4,NA,10,5
NA,NA,NA,7,NA,10,19
26.96,24.08,88.73,8,NA,NA,7
NA,NA,NA,10,18,6,6
62.06,35.06,36.36,6,NA,10,17
57.2,50,76.82,4,NA,10,8
NA,NA,NA,10,NA,9,18
87.98,69.08,53.64,9,NA,10,21
73.04,37.04,26.93,9,NA,10,13
48.02,33.08,56.01,6,NA,10,8
48.2,48.2,100,8,NA,1.5,11
68,59,72.92,3,NA,10,8
68,42.98,40.28,0,NA,10,8
53.06,48.92,85.78,19,25,10,6
NA,NA,NA,13,NA,10,21
73.4,66.2,78.19,7,NA,10,17
73.04,55.94,55.01,6,NA,10,11
42.98,39.92,88.85,5,NA,10,13
46.04,42.98,88.99,0,NA,10,9
46.04,42.08,85.97,9,NA,7,13
42.8,41,93.3,6,NA,1,19
87.08,75.92,69.54,9,NA,10,20
48.02,46.94,96.02,7,NA,0.25,22
62.06,60.08,93.22,4,NA,5,13
53.6,28.4,37.67,3,NA,10,1
72.9,69.1,87.88,0,NA,10,10
60.98,60.08,96.85,3,NA,0.5,10
69.98,60.08,70.81,5,NA,10,14
86,62.96,46.19,14,19,10,19
NA,NA,NA,5,NA,2.5,7
NA,NA,NA,NA,NA,NA,NA
42.98,26.06,50.94,10,NA,10,12
55.04,51.98,89.4,3,NA,10,10
60.08,53.96,80.19,0,NA,10,14
64.4,60.8,88.09,7,NA,6,22
44.06,39.02,82.31,0,NA,10,9
59,28.04,30.53,3,NA,10,19
80.06,62.96,55.97,12,NA,10,19
48.02,42.08,79.79,4,NA,10,9
89.1,69.1,51.8,8,NA,10,20
51.8,51.8,100,0,NA,1,11
46.04,37.94,73.18,9,NA,10,10
NA,NA,NA,4,NA,10,17
57.2,51.8,82.12,3,NA,6,10
62.6,60.8,93.83,7,NA,2,10
NA,NA,NA,9,NA,4,18
NA,NA,NA,15,NA,10,6
NA,NA,NA,11,NA,10,7
44.06,33.08,65.07,10,NA,10,13
NA,NA,NA,13,NA,10,7
39.92,30.92,69.96,5,NA,7,19
NA,NA,NA,NA,NA,NA,NA
53.06,19.04,25.96,6,NA,10,6
75.92,55.04,48.34,4,NA,10,19
NA,NA,NA,0,NA,7,8
44.6,14,28.64,7,15,10,13
66.92,59,75.69,0,NA,10,11
NA,NA,NA,0,NA,10,15
33.98,23,63.77,9,NA,10,9
84.92,60.98,44.59,5,NA,10,18
75.02,35.06,23.3,4,NA,10,13
51.98,39.92,63.33,5,NA,10,13
NA,NA,NA,3,NA,10,10
33.8,28.4,80.36,14,NA,8,7
82,70,67.06,4,NA,10,18
71.96,68,87.35,5,NA,7,12
75.92,50,40.16,0,NA,10,14
86,68,55.04,10,NA,10,15
77,17.96,10.75,12,NA,10,18
NA,NA,NA,7,NA,10,22
NA,NA,NA,NA,NA,NA,NA
95,48.92,20.93,7,NA,10,20
NA,NA,NA,NA,NA,NA,NA
71.06,69.98,96.39,3,NA,3,7
51.98,39.02,61.15,3,NA,10,7
NA,NA,NA,7,NA,10,6
78.98,73.94,84.58,0,NA,10,10
64.94,48.02,54.22,12,NA,10,16
NA,NA,NA,10,16,10,16
NA,NA,NA,4,NA,10,6
75.92,71.06,84.92,7,NA,10,14
NA,NA,NA,5,NA,10,9
62.06,59,89.7,7,NA,9,18
NA,NA,NA,5,NA,9,13
60.98,51.98,72.22,6,NA,10,11
NA,NA,NA,2,NA,10,11
30.92,23,72.12,16,19,10,11
60.98,57.92,89.65,4,NA,10,15
64.04,48.92,57.87,3,NA,10,15
80.06,69.08,69.23,9,NA,10,19
NA,NA,NA,12,NA,10,21
51.98,48.92,89.26,3,NA,6,15
68,66.02,93.38,8,NA,1,15
35.96,15.98,43.67,11,NA,10,21
51.8,48.2,87.47,14,22,5,18
46.94,28.94,49.33,7,NA,10,16
NA,NA,NA,0,NA,10,19
57.02,51.98,83.21,12,NA,10,9
84.92,71.06,63.27,10,NA,10,16
71.06,48.02,43.92,14,NA,10,20
NA,NA,NA,4,NA,10,9
87.08,55.04,33.62,0,NA,10,19
50,44.96,82.73,15,NA,10,8
NA,NA,NA,8,NA,10,17
69.08,57.92,67.59,15,25,10,18
78.08,57.02,48.35,10,NA,10,21
71.96,57.02,59.32,10,NA,6,21
NA,NA,NA,4,NA,10,16
64.94,62.96,93.3,5,NA,0.5,16
75.92,71.06,84.92,6,NA,10,15
NA,NA,NA,5,NA,10,19
NA,NA,NA,NA,NA,NA,NA
59,17.96,19.99,19,25,10,19
64.94,53.06,65.37,14,NA,10,13
69.08,44.06,40.45,9,NA,10,20
48.02,42.08,79.79,3,NA,10,11
NA,NA,NA,4,NA,10,24
78.98,73.94,84.58,8,NA,10,6
69.98,66.92,90.02,0,NA,10,12
39.02,23,52.26,9,NA,10,9
55.04,21.92,27.3,3,NA,10,15
46.94,24.98,41.89,9,NA,10,15
78.08,71.06,79.05,8,NA,10,10
30.2,26.6,86.28,6,NA,4,17
73.94,53.96,49.66,13,NA,10,23
NA,NA,NA,NA,NA,NA,NA
93.02,68,44.12,7,14,10,19
87.8,35.6,15.7,3,NA,10,18
30.2,26.6,86.28,9,NA,10,10
NA,NA,NA,9,NA,10,16
78.98,57.92,48.48,4,NA,10,15
73.04,69.08,87.41,5,NA,10,10
-5.08,-14.08,64.22,10,NA,10,7
NA,NA,NA,6,NA,10,19
42.1,37.9,84.93,8,NA,4,6
NA,NA,NA,7,NA,10,7
NA,NA,NA,4,NA,10,20
75.92,71.06,84.92,4,NA,10,11
73.04,69.98,90.14,3,NA,10,11
75.02,28.94,18.2,10,16,10,22
64.04,55.04,72.53,19,NA,10,21
23,6.08,47.7,6,NA,10,11
77,68,73.78,5,NA,10,17
53.06,44.96,73.89,0,NA,10,8
69.08,68,96.36,3,NA,7,9
NA,NA,NA,6,NA,10,20
48.02,24.98,40.22,15,23,10,21
73.04,37.94,27.9,21,27,10,20
48.02,37.94,67.92,19,28,10,15
44.6,41,87.09,5,NA,5,8
90,73,57.49,7,NA,10,17
87.08,64.94,47.83,5,NA,10,18
39.02,24.98,56.77,3,NA,10,15
53.06,39.02,58.77,6,NA,10,14
86,75.02,69.85,11,NA,10,19
84.92,60.98,44.59,4,NA,10,12
80.06,42.98,26.87,7,NA,10,19
12.92,8.96,83.85,6,NA,9,14
60.08,51.98,74.56,0,NA,10,8
53.96,44.96,71.49,14,20,10,21
69.98,62.96,78.41,3,NA,10,6
89.96,48.02,23.68,4,NA,10,10
NA,NA,NA,NA,NA,NA,NA
30.92,28.04,88.92,4,NA,10,11
89.06,78.08,70.16,9,NA,10,18
59,59,100,10,NA,5,13
51.08,14,22.45,4,NA,10,7
NA,NA,NA,9,NA,10,22
-11.92,-18.04,73.38,0,NA,10,13
71.06,66.92,86.77,9,14,10,7
75.02,32,20.61,11,NA,10,22
NA,NA,NA,5,NA,9,14
37.94,32,78.96,5,NA,10,15
NA,NA,NA,13,NA,10,9
NA,NA,NA,17,NA,9,14
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,NA,10,17
51.62,48.92,NA,NA,NA,NA,7
26.6,24.8,92.8,11,NA,0.25,23
84.92,64.04,49.66,6,NA,10,16
NA,NA,NA,0,NA,10,17
62.96,60.98,93.25,4,NA,9,6
53.06,48.92,85.78,0,NA,10,10
80.06,53.06,39.22,7,NA,10,7
NA,NA,NA,NA,NA,NA,NA
35.96,26.96,69.51,7,NA,10,10
NA,NA,NA,5,NA,10,24
69.08,55.94,62.93,8,NA,10,17
73.04,68,84.22,5,NA,8,9
66.02,59,78.08,0,NA,10,7
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,NA,10,9
59,33.08,37.46,8,NA,10,19
69.08,60.98,75.4,15,NA,10,10
44.96,35.06,68.05,8,NA,10,13
NA,NA,NA,4,NA,10,11
NA,NA,NA,13,NA,10,19
59,55.94,89.57,9,NA,0.5,23
71.96,68,87.35,10,NA,10,6
NA,NA,NA,4,NA,9,19
NA,NA,NA,5,NA,1.5,8
NA,NA,NA,5,NA,10,10
53.96,46.94,77.06,0,NA,10,6
73.04,66.02,78.65,3,NA,10,8
78.08,71.96,81.5,0,NA,10,8
75.02,55.04,49.81,5,NA,10,19
41,28.94,61.89,16,21,10,21
NA,NA,NA,13,NA,10,20
36.86,17.96,45.91,19,26,10,6
NA,NA,NA,4,NA,10,6
62.96,57.02,80.93,3,NA,10,15
62.06,51.98,69.51,3,NA,10,9
80.96,57.92,45.44,0,NA,10,16
57.02,46.94,68.95,13,NA,10,12
37.04,33.98,88.57,3,NA,7,17
69.08,44.06,40.45,0,NA,10,15
42.98,42.08,96.6,0,NA,0.75,15
48.92,28.94,45.79,12,18,10,21
78.98,64.94,62.16,3,NA,10,14
55.04,51.08,86.47,3,NA,10,19
53.6,50,87.56,6,NA,4,7
86,57.02,37.38,5,NA,10,21
78.98,57.92,48.48,5,NA,10,12
NA,NA,NA,5,NA,10,17
78.08,64.94,64.03,10,NA,10,10
57.02,42.98,59.31,8,NA,10,10
73.4,60.8,64.69,6,NA,7,18
54,51.1,89.88,0,NA,10,15
53.96,33.98,46.6,0,NA,10,19
62.96,42.98,48,3,NA,10,15
66.92,44.06,43.57,6,NA,10,20
NA,NA,NA,0,NA,10,21
NA,NA,NA,8,NA,10,8
66.92,60.98,81.22,3,NA,10,7
60.98,53.06,75.14,11,NA,10,15
32,32,100,0,NA,0.25,15
60.98,60.08,96.85,7,NA,0.25,8
69.98,51.08,51.07,8,NA,10,17
53.06,17.06,23.84,6,NA,10,18
55.04,33.98,44.8,12,NA,10,15
35.1,21,56.05,11,18,10,11
NA,NA,NA,2,NA,10,14
NA,NA,NA,NA,NA,NA,NA
66.92,46.94,48.6,4,NA,10,19
NA,NA,NA,6,NA,10,10
71.06,66.02,84.1,6,NA,2.5,12
80.06,68,66.7,13,18,10,16
NA,NA,NA,14,NA,10,9
33.98,8.06,33.28,7,NA,10,20
44.06,42.98,95.95,0,NA,5,11
71.06,62.96,75.57,9,17,10,15
NA,NA,NA,10,NA,10,9
NA,NA,NA,NA,NA,NA,NA
17.06,3.92,55.66,20,25,10,9
NA,NA,NA,NA,NA,NA,NA
48.02,15.08,26.38,17,NA,10,19
52,43,71.28,14,20,10,18
75.92,69.98,81.85,13,NA,10,9
23,8.96,54.34,12,NA,10,10
71.06,50,47.29,13,18,10,19
59,44.06,57.57,8,NA,10,22
51.98,42.08,68.86,8,NA,10,9
73.4,62.6,68.94,13,NA,10,19
39.02,35.96,88.66,15,NA,10,12
NA,NA,NA,NA,NA,NA,NA
69.08,66.02,89.98,3,NA,10,17
NA,NA,NA,NA,NA,NA,NA
59,48.02,66.88,9,NA,10,16
8.06,-2.02,62.75,10,NA,10,7
80.06,73.94,81.63,12,NA,10,9
NA,NA,NA,5,NA,10,6
64.04,28.04,25.54,8,NA,10,10
NA,NA,NA,6,NA,6,19
NA,NA,NA,6,NA,10,9
15.98,6.98,67.07,10,NA,8,16
80.06,73.04,79.2,5,NA,7,7
77,62.06,59.98,12,NA,10,17
30.92,17.06,55.99,15,19,10,19
NA,NA,NA,NA,NA,NA,NA
84.02,51.08,32.06,16,22,10,18
53.06,33.08,46.46,0,NA,10,14
NA,NA,NA,7,NA,10,21
55.94,53.06,90.03,3,NA,7,8
69.8,68,94.01,3,NA,8,8
NA,NA,NA,5,NA,10,10
84.02,62.96,49.22,4,NA,10,21
71.6,66.2,83.09,7,NA,NA,16
55.94,35.06,45.26,22,27,10,14
73.04,55.04,53.24,9,NA,10,21
NA,NA,NA,9,NA,10,12
NA,NA,NA,0,NA,0.24,12
NA,NA,NA,0,NA,10,11
NA,NA,NA,9,NA,10,19
71.06,48.02,43.92,0,NA,10,24
35.06,32,88.47,6,NA,3,11
NA,NA,NA,0,NA,10,11
78.98,57.02,46.93,13,20,10,21
NA,NA,NA,8,NA,10,17
NA,NA,NA,15,NA,10,20
71.96,68,87.35,8,NA,10,8
32,21.92,65.97,5,NA,10,8
104,28.94,7.3,8,NA,10,21
75.92,57.02,51.94,4,NA,10,24
51.8,35.6,53.81,11,NA,10,15
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3,NA,7,15
44.96,33.98,65.18,7,NA,10,10
NA,NA,NA,5,NA,5,9
10.94,6.98,83.71,7,NA,10,7
NA,NA,NA,4,NA,10,19
62.06,51.98,69.51,11,NA,10,22
44.96,41,85.9,7,15,7,7
33.98,30.92,88.42,9,NA,8,12
60.8,60.8,100,0,NA,3,8
26.06,19.94,77.32,6,NA,7,12
12.92,5,70.07,4,NA,10,7
28.04,3.92,35.05,11,NA,10,8
NA,NA,NA,NA,NA,10,18
78.1,64.9,63.9,4,NA,8,22
23,12.02,62.28,19,NA,10,17
NA,NA,NA,0,NA,10,7
46.94,28.94,49.33,15,NA,10,8
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,NA,10,20
64.94,46.94,52.06,14,NA,10,21
NA,NA,NA,NA,NA,NA,NA
37.04,33.08,85.43,15,NA,10,10
84.92,48.92,28.74,7,NA,10,8
73.94,69.08,84.8,0,NA,6,15
69.08,53.96,58.56,5,NA,10,18
51.98,37.94,58.62,8,NA,10,17
73.04,46.94,39.44,9,14,10,16
57.02,55.04,93.08,0,NA,9,7
46.04,37.04,70.64,10,NA,10,7
75.92,60.08,57.96,13,NA,10,11
82.4,73.4,74.28,4,NA,7,13
86,42.8,22.02,3,NA,7,20
53.6,23,30.11,5,NA,10,8
NA,NA,NA,7,NA,10,15
90,72,55.58,10,NA,10,16
33.8,33.8,100,4,NA,1.75,10
75.92,53.96,46.47,10,16,10,20
NA,NA,NA,11,16,10,12
69.98,68,93.44,4,NA,4,11
57.02,48.92,74.27,7,NA,10,11
35.96,35.96,100,19,25,3,6
NA,NA,NA,NA,NA,NA,NA
21.02,12.92,70.46,10,NA,10,12
NA,NA,NA,NA,NA,NA,NA
75.02,37.94,26.1,4,NA,10,14
78.08,35.96,21.81,8,NA,10,12
64.04,55.94,74.94,8,NA,7,7
73.94,66.02,76.31,12,20,10,18
53.96,51.08,89.95,6,NA,10,7
102.2,53.6,20,7,NA,10,22
51.98,46.04,80.1,4,NA,10,9
51.8,50,93.55,5,NA,3,6
44.6,19.4,36.18,6,NA,10,14
39.92,35.96,85.61,5,NA,1.5,15
78.08,64.04,62.05,16,23,10,9
75.02,64.94,70.88,6,NA,5,13
62.06,55.94,80.34,0,NA,0.25,7
60.08,26.06,27.07,7,NA,10,17
89.06,64.04,43.53,3,NA,10,19
93.02,62.96,37.02,9,NA,10,15
62.6,42.8,48.28,9,NA,10,7
86,71.96,63.01,15,25,10,21
55.04,42.08,61.56,8,NA,10,21
48.92,17.96,28.89,12,20,10,17
71.06,57.92,63.18,0,NA,10,7
30.92,26.06,81.95,5,NA,6,8
71.06,68,90.06,7,NA,7,12
NA,NA,NA,9,NA,10,22
78.08,51.08,38.91,3,NA,10,19
NA,NA,NA,0,NA,10,8
57.02,24.08,27.82,11,17,10,22
91.94,71.96,52.24,3,NA,10,21
100.04,26.96,7.58,0,NA,10,21
35.6,30.2,80.51,17,20,10,6
42.08,42.08,100,5,NA,10,8
44.06,33.08,65.07,5,NA,10,8
39,32,75.75,5,NA,10,9
64.94,55.04,70.28,5,NA,10,6
66.02,23,19.34,7,NA,10,20
NA,NA,NA,10,NA,10,6
75.92,64.04,66.65,11,NA,10,14
NA,NA,NA,0,NA,10,8
75.92,73.94,93.59,4,NA,10,8
55.94,37.04,48.95,7,NA,10,19
82.04,33.98,17.71,7,NA,10,13
50,39.92,68.15,5,NA,10,6
